epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,808.288,0.54459,0.30199,0.82528,0.99363,0.96923,0.98182,0.8758,0.49772,0.26573,0.8276,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,817.736,0.54401,0.30455,0.82897,0.98995,0.96615,0.97951,0.86482,0.51478,0.26104,0.83097,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,827.023,0.54911,0.30531,0.82744,0.98131,0.96947,0.97417,0.86197,0.51326,0.26381,0.83356,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,836.458,0.54794,0.30735,0.82094,0.99218,0.96615,0.98233,0.8723,0.51464,0.26311,0.83272,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,845.907,0.53555,0.29736,0.82928,0.99276,0.96615,0.98281,0.86828,0.51347,0.26856,0.8297,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,855.211,0.5398,0.2978,0.82598,0.99609,0.96615,0.98253,0.86691,0.52259,0.2667,0.83138,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,864.546,0.5592,0.30483,0.82883,0.99681,0.96284,0.98309,0.85728,0.54717,0.27604,0.83669,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,873.983,0.54922,0.30533,0.82383,0.99365,0.96615,0.98344,0.87005,0.52974,0.27972,0.82866,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,883.419,0.54402,0.30244,0.82327,0.99221,0.96,0.97405,0.85325,0.56252,0.275,0.83877,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,892.748,0.53375,0.29573,0.8187,0.99565,0.96615,0.97481,0.86167,0.51282,0.26613,0.82968,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,902.083,0.54713,0.2999,0.82614,0.99183,0.96615,0.9745,0.85764,0.53234,0.27442,0.8351,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
96,911.476,0.53627,0.2962,0.81362,0.99239,0.96,0.97354,0.85901,0.51831,0.26971,0.83054,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
97,920.888,0.54192,0.30274,0.82555,0.99683,0.9683,0.98248,0.87176,0.49197,0.26336,0.82479,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
98,930.301,0.54924,0.3063,0.82049,0.99364,0.96218,0.98092,0.86482,0.50995,0.27025,0.82625,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794,0.0242382,0.0080794
99,939.606,0.53485,0.29133,0.82242,0.99053,0.96556,0.9743,0.85593,0.52495,0.28633,0.82974,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
100,949.025,0.53133,0.29878,0.82379,0.99238,0.96615,0.97402,0.86419,0.52382,0.28844,0.83546,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398,0.0241194,0.0080398
101,958.358,0.52955,0.29095,0.82079,0.98782,0.96308,0.98109,0.859,0.51796,0.27452,0.83313,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
102,967.76,0.52639,0.29903,0.8257,0.98913,0.96615,0.97462,0.86784,0.50892,0.26589,0.82854,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
103,977.098,0.55269,0.30332,0.82685,0.99431,0.95692,0.98199,0.86568,0.52284,0.27042,0.83017,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
104,986.443,0.53568,0.29889,0.82065,0.98607,0.95692,0.98111,0.86048,0.52899,0.27494,0.83194,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606,0.0238818,0.0079606
105,995.963,0.53655,0.30024,0.82036,0.99051,0.96341,0.97454,0.85396,0.54156,0.27225,0.83429,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
106,1005.31,0.5182,0.29161,0.82027,0.99053,0.96534,0.98195,0.85808,0.52936,0.26812,0.83019,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
107,1014.65,0.53326,0.29758,0.82197,0.99682,0.96366,0.98387,0.86567,0.5207,0.26391,0.83039,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,1023.95,0.54096,0.30279,0.82561,0.9956,0.96615,0.97481,0.8568,0.5343,0.2668,0.82895,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,1033.36,0.5174,0.29327,0.82062,0.98339,0.96923,0.97454,0.85774,0.53503,0.28102,0.82821,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,1042.69,0.52833,0.28965,0.82306,0.99563,0.95692,0.981,0.85974,0.53123,0.27052,0.82935,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,1052.01,0.52723,0.29681,0.81734,1,0.96126,0.98398,0.86623,0.52639,0.27562,0.83128,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,1061.33,0.5303,0.29494,0.81836,0.98749,0.9715,0.98442,0.87252,0.51647,0.26691,0.82872,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,1070.73,0.527,0.29448,0.82933,0.9875,0.97216,0.98205,0.8616,0.52552,0.25916,0.83213,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
